feature,mean_abs_shap
cat__ Destination IP_192.168.10.50,0.020615380091655762
num__ Avg Fwd Segment Size,0.019279917951595865
num__ Fwd IAT Std,0.01880375649170298
num__ Packet Length Variance,0.016273426516848516
num__ Subflow Bwd Bytes,0.01598935441075062
num__ Bwd Packet Length Mean,0.015798033410252654
num__ Fwd Packet Length Mean,0.013371737093711892
num__Bwd Packet Length Max,0.01251869587773781
num__ Total Length of Bwd Packets,0.012458953610845615
num__ Fwd Packet Length Max,0.012426949020169246
num__ act_data_pkt_fwd,0.01233493221881536
cat__ Source IP_172.16.0.1,0.012176030820089882
num__ Flow IAT Mean,0.011693683632884136
num__ Max Packet Length,0.010904355103476576
num__ Source Port,0.010778515738776856
num__ Destination Port,0.010569850219485751
num__ Fwd IAT Max,0.01028139302893013
num__ Flow IAT Max,0.009804493063124324
num__Subflow Fwd Packets,0.00917468563368153
num__ Fwd Header Length.1,0.008789662259592726
num__ Bwd IAT Mean,0.008479465944658947
num__ Subflow Fwd Bytes,0.008357535832652276
num__Fwd IAT Total,0.008312701434828481
num__ Packet Length Std,0.008098377193352796
num__ Bwd IAT Std,0.008093137662410285
num__Init_Win_bytes_forward,0.00785832317166936
num__ Avg Bwd Segment Size,0.007768456446457732
num__ Bwd Packet Length Min,0.00723942944737318
num__ Bwd Packet Length Std,0.005824514350682799
num__ Fwd Packet Length Std,0.005661201992065272
num__ Fwd IAT Mean,0.005643391964343627
num__ Flow Duration,0.00547130142242058
num__ Total Fwd Packets,0.005406882419255446
num__ Min Packet Length,0.005328858632449007
cat__ Destination IP_192.168.10.3,0.005154760485249498
num__ Bwd IAT Min,0.004631687507745141
num__ Flow Packets/s,0.004343963211500392
num__ Packet Length Mean,0.00420652258542151
num__ Flow IAT Std,0.004137074520475391
num__ Bwd IAT Max,0.004073270092896935
cat__ Source IP_192.168.10.50,0.003942126914020055
num__ Subflow Bwd Packets,0.003910292436403874
num__ Active Max,0.00363567191331459
num__ Fwd IAT Min,0.0035567377687179685
num__ Active Min,0.0034541522416615773
num__ Fwd Packet Length Min,0.0034335006899983023
num__Fwd Packets/s,0.0034162929557609704
num__ ACK Flag Count,0.003192642535397192
num__ Init_Win_bytes_backward,0.003178144037739914
num__ Bwd Header Length,0.0031331747485798685
num__Bwd IAT Total,0.003057367192186104
num__ PSH Flag Count,0.0030319526985488785
num__Active Mean,0.002719563316303076
num__ Protocol,0.0026435806466789404
cat__ Source IP_192.168.10.12,0.0025718391660426378
cat__ Destination IP_172.16.0.1,0.0024079242784569082
cat__ Source IP_192.168.10.15,0.002238622159197543
num__ Fwd Header Length,0.0021601990890474676
num__ Average Packet Size,0.002122134341935755
num__Total Length of Fwd Packets,0.0020401196155727143
num__Flow Bytes/s,0.0019985522177325835
cat__ Source IP_192.168.10.16,0.0019454419551529296
cat__ Source IP_192.168.10.3,0.001886006743318126
num__ Bwd Packets/s,0.001820108552995951
cat__ Destination IP_192.168.10.1,0.0016943789566466385
num__Idle Mean,0.0016867281388698893
num__ Total Backward Packets,0.001661074254267025
num__ min_seg_size_forward,0.001636233968469038
cat__ Timestamp_7/7/2017 4:02,0.001605577985343404
num__ Idle Std,0.00148981208645209
num__ Idle Min,0.0013747525191558226
num__ Flow IAT Min,0.0013029518940072392
cat__ Source IP_192.168.10.17,0.0012025455760785208
num__ Active Std,0.0011121854192651687
num__ Idle Max,0.0009604689906331992
num__Fwd PSH Flags,0.0009470408751653499
cat__ Timestamp_7/7/2017 4:01,0.0009258615915686654
cat__ Timestamp_7/7/2017 3:59,0.0009127781038762274
cat__ Source IP_192.168.10.9,0.0008723743229740453
num__ Down/Up Ratio,0.0008352402266079905
cat__ Timestamp_7/7/2017 3:57,0.0008074057011299424
cat__ Timestamp_7/7/2017 3:58,0.0007749622225455507
cat__ Source IP_192.168.10.5,0.0007225306233535055
cat__ Timestamp_7/7/2017 4:00,0.0007002497846741977
cat__ Timestamp_7/7/2017 3:42,0.0006638055184309629
cat__ Source IP_192.168.10.14,0.00047054259520487205
cat__ Timestamp_7/7/2017 3:38,0.0004411314250235534
cat__ Timestamp_7/7/2017 3:33,0.0004400198254002392
cat__ Destination IP_192.168.10.5,0.00038228375135167546
cat__ Timestamp_7/7/2017 3:41,0.00037981392774098175
num__ SYN Flag Count,0.00037068519687085246
cat__ Timestamp_7/7/2017 3:31,0.00036771339376036403
cat__ Timestamp_7/7/2017 3:51,0.0003356281712475495
cat__ Source IP_192.168.10.8,0.0003235085578122495
cat__ Timestamp_7/7/2017 3:39,0.0003145660085360795
cat__ Timestamp_7/7/2017 3:30,0.00030143190417088655
cat__ Timestamp_7/7/2017 3:56,0.00029900082644201823
cat__ Destination IP_61.251.165.12,0.0002846628566187205
cat__ Timestamp_7/7/2017 3:34,0.00023804033756797058
cat__ Timestamp_7/7/2017 3:40,0.00023411495452134809
num__ URG Flag Count,0.0002160508913586027
cat__ Source IP_192.168.10.19,0.00021408007493874578
cat__ Destination IP_192.168.10.16,0.00020409267513979003
cat__ Destination IP_192.168.10.15,0.00018234046151465385
cat__ Timestamp_7/7/2017 3:55,0.00016812742983523746
cat__ Destination IP_192.168.10.9,0.00016633212972799163
cat__ Destination IP_199.244.48.55,0.00015837908632309626
cat__ Timestamp_7/7/2017 3:45,0.00015795026737701914
cat__ Timestamp_7/7/2017 4:03,0.00015627246638978332
cat__ Timestamp_7/7/2017 3:36,0.00011561757496300779
cat__ Timestamp_7/7/2017 3:53,0.00011105021877762876
cat__ Destination IP_192.168.10.12,0.00010091321157013052
cat__ Timestamp_7/7/2017 3:46,9.643458104896017e-05
cat__ Destination IP_178.255.83.1,9.360956394676177e-05
num__FIN Flag Count,7.729344448211795e-05
cat__ Destination IP_205.174.165.73,7.71249530001475e-05
cat__ Destination IP_192.168.10.14,7.460639591976061e-05
cat__ Timestamp_7/7/2017 3:54,7.450180350421726e-05
cat__ Destination IP_72.21.91.29,7.190328255611068e-05
cat__ Destination IP_192.168.10.17,7.129713929186803e-05
cat__ Destination IP_69.172.216.111,6.888738916593004e-05
cat__ Timestamp_7/7/2017 3:48,6.609125930750358e-05
cat__ Destination IP_23.5.251.27,6.444506273152082e-05
cat__ Timestamp_7/7/2017 3:47,6.195971711412891e-05
cat__ Destination IP_119.205.194.11,5.980338318103e-05
cat__ Source IP_192.168.10.51,5.863724361668877e-05
cat__ Destination IP_23.52.155.27,5.481784257557094e-05
cat__ Destination IP_162.213.33.50,5.342391787453543e-05
cat__ Destination IP_50.63.243.230,5.048902503243604e-05
cat__ Destination IP_69.172.216.55,4.7730984872168166e-05
cat__ Timestamp_7/7/2017 3:44,4.748527316479997e-05
cat__ Timestamp_7/7/2017 3:43,4.664421642339851e-05
cat__ Timestamp_7/7/2017 3:35,3.676225512420354e-05
cat__ Destination IP_185.13.88.201,3.6246157986764504e-05
cat__ Timestamp_7/7/2017 3:50,3.304969430407239e-05
cat__ Destination IP_192.168.10.8,2.7998956851153875e-05
cat__ Destination IP_192.168.10.19,2.795674909359739e-05
cat__ Destination IP_91.207.59.161,2.6235879309282242e-05
cat__ Destination IP_172.217.3.110,2.5127065247110498e-05
cat__ Destination IP_199.59.88.242,2.1098811842932907e-05
cat__ Source IP_192.168.10.25,2.031696936678155e-05
cat__ Destination IP_192.168.10.255,1.9531542900566808e-05
cat__ Destination IP_52.84.143.188,1.9127672244359197e-05
cat__ Destination IP_192.83.254.182,1.8995117225310954e-05
cat__ Timestamp_7/7/2017 3:49,1.8334691072241974e-05
cat__ Destination IP_146.148.13.21,1.800873921875934e-05
cat__ Destination IP_192.168.10.25,1.6119682361135358e-05
cat__ Timestamp_7/7/2017 3:32,1.5543113479330953e-05
cat__ Destination IP_204.154.111.110,1.4114981123080736e-05
cat__ Timestamp_7/7/2017 3:52,1.3284378363078914e-05
cat__ Destination IP_192.229.163.97,1.3223326172620528e-05
cat__ Destination IP_192.229.163.213,1.2874542390574417e-05
cat__ Destination IP_198.72.112.8,1.1370088210599667e-05
cat__ Destination IP_205.185.208.154,1.0734715709874395e-05
cat__ Source IP_199.167.65.25,1.0585897445298935e-05
cat__ Destination IP_23.60.139.27,1.0426261012748233e-05
cat__ Destination IP_23.4.59.27,9.274333514465097e-06
cat__ Destination IP_172.217.10.2,9.147892733320225e-06
cat__ Destination IP_204.154.111.112,8.950390447653192e-06
cat__ Destination IP_157.240.18.19,8.945660120800836e-06
cat__ Destination IP_54.199.235.3,8.824198783403428e-06
cat__ Destination IP_172.217.11.46,8.76275286430321e-06
cat__ Destination IP_207.178.0.75,7.787975553025167e-06
cat__ Destination IP_151.80.231.118,7.449333584180279e-06
cat__ Destination IP_184.84.243.202,7.168187711319373e-06
cat__ Source IP_172.217.12.130,6.9246548610325324e-06
cat__ Destination IP_178.124.129.12,6.313647539553402e-06
cat__ Destination IP_68.67.178.196,6.268190109487562e-06
cat__ Destination IP_23.61.187.27,6.255672329331377e-06
cat__ Timestamp_7/7/2017 3:37,6.1826698627529075e-06
cat__ Destination IP_193.200.227.42,5.971974856493355e-06
cat__ Destination IP_121.14.255.98,5.751383592339661e-06
cat__ Destination IP_31.13.80.2,5.738225859735995e-06
cat__ Destination IP_34.192.66.131,5.7316079414845175e-06
cat__ Destination IP_69.90.153.133,5.491275815680946e-06
cat__ Destination IP_172.217.12.130,5.415959170310179e-06
cat__ Destination IP_195.142.107.70,5.08768877846453e-06
cat__ Destination IP_68.67.178.173,4.860391910678612e-06
cat__ Destination IP_205.185.208.27,4.816787894385613e-06
cat__ Destination IP_1.1.70.73,4.733943692521066e-06
cat__ Source IP_172.217.6.238,4.708814610303014e-06
cat__ Source IP_104.97.139.37,4.697204648440325e-06
cat__ Destination IP_104.16.251.39,4.500589496643651e-06
cat__ Destination IP_68.67.178.230,4.448224346993806e-06
cat__ Destination IP_93.93.53.199,4.425296836641913e-06
cat__ Destination IP_172.217.6.238,4.403980645253385e-06
cat__Flow ID_192.168.10.9-93.184.216.172-9292-443-6,4.325073644763848e-06
cat__ Destination IP_174.35.72.217,4.315397208273122e-06
cat__ Source IP_23.60.139.27,4.258189101746134e-06
cat__ Destination IP_23.15.4.10,4.160758252142743e-06
cat__ Source IP_198.51.152.183,4.15621950135454e-06
cat__ Destination IP_173.241.242.220,3.984855940621285e-06
cat__ Destination IP_63.251.98.12,3.9388619173122955e-06
cat__ Source IP_216.58.219.225,3.834603976250292e-06
cat__ Destination IP_104.85.11.111,3.830573831109335e-06
cat__ Destination IP_157.240.2.35,3.700860992147114e-06
cat__ Destination IP_8.43.72.42,3.6119167102501834e-06
cat__ Destination IP_14.0.77.82,3.606512957344254e-06
cat__ Destination IP_63.251.240.12,3.602105395982067e-06
cat__ Destination IP_151.101.1.5,3.5960591671235363e-06
cat__ Source IP_149.174.66.134,3.592439516484809e-06
cat__ Source IP_151.101.129.34,3.5853420092990615e-06
cat__ Destination IP_195.142.107.75,3.5447792828698016e-06
cat__ Destination IP_69.4.95.11,3.466701150233733e-06
cat__ Source IP_157.240.18.5,3.4296968736920695e-06
cat__ Destination IP_206.126.112.152,3.3873217794899544e-06
cat__ Destination IP_172.217.11.2,3.3150196705722923e-06
cat__ Destination IP_104.97.128.248,3.307053007973454e-06
cat__ Source IP_104.97.71.5,3.2303637940861972e-06
cat__ Source IP_192.83.254.182,3.2222250603754635e-06
cat__ Destination IP_64.210.147.102,3.097515354478863e-06
cat__ Destination IP_37.140.238.33,3.0778122930108696e-06
cat__ Destination IP_8.41.222.241,3.0457191662561586e-06
cat__ Destination IP_52.84.145.201,3.0105098675357023e-06
cat__ Destination IP_194.190.77.85,2.9716048621690133e-06
cat__ Destination IP_157.240.18.5,2.969369453468603e-06
cat__ Destination IP_184.84.243.199,2.9446951771784242e-06
cat__ Source IP_74.119.118.74,2.9365024406918185e-06
cat__Flow ID_192.168.10.1-192.168.10.3-53-62263-17,2.9215129646934827e-06
cat__ Destination IP_23.194.100.14,2.9187520340301707e-06
cat__ Destination IP_74.119.118.94,2.904515103500403e-06
cat__Flow ID_192.168.10.1-192.168.10.3-53-62532-17,2.858928650744835e-06
cat__Flow ID_192.168.10.14-31.13.80.2-57832-443-6,2.850522587046948e-06
cat__Flow ID_192.168.10.14-192.168.10.50-57915-21-6,2.8014062834410966e-06
cat__ Destination IP_173.241.254.212,2.7526210415464143e-06
cat__ Destination IP_34.227.128.119,2.7258102338308012e-06
cat__ Destination IP_176.32.96.142,2.7251429227513936e-06
cat__ Destination IP_172.217.9.230,2.6664227797001923e-06
cat__ Destination IP_23.208.153.41,2.634303475982231e-06
cat__ Destination IP_172.217.10.131,2.6331851795204104e-06
cat__Flow ID_192.168.10.1-192.168.10.3-53-61721-17,2.623234705674526e-06
cat__ Destination IP_216.200.232.61,2.6193770327733936e-06
cat__ Destination IP_172.217.10.110,2.6135395746647525e-06
cat__ Destination IP_204.154.111.111,2.6039983342371443e-06
cat__ Source IP_52.84.145.63,2.5712111990257584e-06
cat__ Destination IP_72.167.18.239,2.5051387961812164e-06
cat__Flow ID_192.168.10.255-192.168.10.3-137-137-17,2.493312194254961e-06
cat__ Destination IP_151.101.45.108,2.4391262474926014e-06
cat__ Destination IP_34.198.228.128,2.4298186094731997e-06
cat__ Destination IP_204.154.111.116,2.4204053481699725e-06
cat__ Source IP_23.5.251.27,2.4128734231481097e-06
cat__Flow ID_172.16.0.1-192.168.10.50-57540-80-6,2.4008488639255765e-06
cat__ Destination IP_23.53.114.179,2.363344998247998e-06
cat__Flow ID_192.168.10.1-192.168.10.3-53-61542-17,2.296389974247887e-06
cat__ Destination IP_74.119.118.84,2.260695973441282e-06
cat__Flow ID_192.168.10.1-192.168.10.3-53-61225-17,2.256937992024816e-06
cat__Flow ID_192.168.10.1-192.168.10.3-53-62343-17,2.252207629206206e-06
cat__Flow ID_192.168.10.5-52.84.8.26-55686-443-6,2.245457714834285e-06
cat__ Destination IP_52.84.145.248,2.22366134584032e-06
cat__ Source IP_52.94.232.33,2.2116962358396476e-06
